,J1,J2,J3,J4,J5
0,0.0,0.0,0.0,0.0,0.0
1,-0.0001975578991890864,-0.00019820183131099068,-0.0001227120439045748,-0.00011564170532158912,-0.00012241409616224329
2,-0.00019756867978749703,-0.00019820990308670681,-0.00012332847594026086,-0.0001164055711473999,-0.00012303239915223085
3,-0.00019757944923522896,-0.00019821795493210557,-0.00012394212255847358,-0.00011716411467305675,-0.0001236479189260209
4,-0.00019759020734271216,-0.00019822598683869874,-0.00012455297697430367,-0.00011791736046909861,-0.00012426064854025753
5,-0.00019760095392179128,-0.00019823399879516867,-0.00012516103249904153,-0.000118665333089088,-0.00012487058118739624
6,-0.0001976116887800669,-0.00019824199079302717,-0.00012576628259110655,-0.00011940805706961099,-0.00012547771016740983
7,-0.0001976224117251396,-0.00019824996282095662,-0.00012636872079945904,-0.00012014555692461848,-0.00012608202890476483
8,-0.00019763312256743936,-0.00019825791487046885,-0.00012696834082018827,-0.00012087785714825549,-0.00012668353093710393
9,-0.00019764382111173734,-0.0001982658469302462,-0.00012756513645124202,-0.00012160498220354365,-0.0001272822099265636
10,-0.0001976545071656341,-0.00019827375898897104,-0.00012815910162637943,-0.00012232695653369873,-0.00012787805966543275
11,-0.00019766518053390082,-0.0001982816510409846,-0.00012875023040385348,-0.0001230438045536425,-0.00012847107405917658
12,-0.00019772025770572077,-0.00019832828947337317,-0.00013039942918283642,-0.00012375581740615315,-0.00013011607849380935
13,-0.000197731730616697,-0.0001983366396255995,-0.00013102670923595682,-0.00012450546484054303,-0.0001307455954788994
14,-0.00019774319019410984,-0.00019834497284384662,-0.00013165076035130674,-0.00012524999105481826,-0.0001313718799385355
15,-0.000197754636346711,-0.0001983532891309439,-0.0001322715798041707,-0.00012598941589158475,-0.00013199492900936138
16,-0.00019776606891322448,-0.00019836158846850025,-0.00013288916483022162,-0.00012672375915949552,-0.00013261473981104443
17,-0.000197777487733789,-0.00019836987084095398,-0.0001335035127754791,-0.000127453040641739,-0.00013323130955379293
