iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
0,2025-07-10 14:35:27.240559,3.0509999999999993,3.0509999999999993,69.19931839717133,69.68925869615624,55.463387786006976,54.346450048598385,55.41070702498121,4.115706632533567,69.19931769948928,54.34644958062686,,187.57020975604098,1.0,,213.39344241116004,1.0,0
1,2025-07-10 14:35:29.557144,3.191578061938476,3.2186313630937082,69.21785400515299,69.7053827446028,55.59668190519423,54.51407420451124,55.54426850300372,4.24926811195471,69.21785331062435,54.51407374060322,186.72036120257368,1.0,212.41648803874583,1.0,130.7858810844209,1.0,232.2842845694595,1.0,155.15348742439983,1.0,0
2,2025-07-10 14:35:33.059784,3.3316551302543784,3.384807142011733,69.23635706533213,69.7214536189317,55.72940474559958,54.68024288465668,55.67726145879922,4.382261069166601,69.23635637395425,54.680242424780886,185.87331529182416,1.0,211.44124915999504,1.0,130.31217105321957,1.0,231.23051008610673,1.0,153.80491464156876,1.0,0
3,2025-07-10 14:35:36.781083,3.471224829765587,3.5495385392600243,69.2548267160025,69.73747119758713,55.861551727771726,54.84496729039304,55.80968126516209,4.514680876963498,69.25482602777264,54.84496683451822,185.0290784306228,1.0,210.46777119276453,1.0,129.83256210077343,1.0,230.17766274165297,1.0,152.46679824713283,1.0,0
4,2025-07-10 14:35:40.450838,3.6102808508230915,3.712836759908192,69.27326250796852,69.75343550174966,55.993118097235346,55.00825862556742,55.94152311301197,4.646522726264865,69.27326182288375,55.008258173662306,184.18764950260817,1.0,209.4960778127615,1.0,129.34711217326367,1.0,229.12579468766126,1.0,151.13913244647392,1.0,0
5,2025-07-10 14:35:43.413626,3.748816931465122,3.8747129945809093,69.29166358550646,69.76934640928326,56.12409928757916,55.17012807954792,56.072782384522164,4.777781999243898,69.29166290356369,55.17012763158135,183.34903494519028,1.0,208.5262141225308,1.0,128.85586183301712,1.0,228.07495228107655,1.0,149.82188826650145,1.0,0
6,2025-07-10 14:35:46.899791,3.886826867627368,4.035178410455544,69.31002962275358,69.78520399071306,56.25449069493179,55.33058681828106,56.2034544192371,4.908454035444824,69.31002894394967,55.33058637422191,182.51323104121005,1.0,207.55819729728142,1.0,128.35887192352402,1.0,227.02516449498944,1.0,148.51505991259728,1.0,0
7,2025-07-10 14:35:50.732819,4.024304505801977,4.194244154467481,69.32835986060236,69.801008163128,56.38428793744945,55.4896459874968,56.33353478262529,5.038534400336024,69.32835918493397,55.48964554731399,181.68024216064967,1.0,206.59206734721738,1.0,127.85619459634745,1.0,225.97649507019923,1.0,147.2186213089799,1.0,0
8,2025-07-10 14:35:53.982931,4.161243755708685,4.351921356607842,69.34665372511955,69.81675891278405,56.513486546812615,55.64731671598689,56.46301894939872,5.168018568629322,69.34665305258324,55.64731627964942,180.85006902791613,1.0,205.62785452257833,1.0,127.34787620843235,1.0,224.92897877441465,1.0,145.93255217448586,1.0,0
9,2025-07-10 14:35:57.150892,4.297638579105917,4.508221129203803,69.3649105091972,69.83245618032308,56.642082189251866,55.8036101148283,56.591902529651996,5.296902150419139,69.36490983978935,55.80360968230523,180.02271477159255,1.0,204.66559609282982,1.0,126.83398050057804,1.0,223.88266775919874,1.0,144.65682933064272,1.0,0
10,2025-07-10 14:36:00.081216,4.433482995852692,4.6631545539216965,69.38312967731427,69.84809997009776,56.77007076608795,55.95853726451355,56.72018136956371,5.4251809918839164,69.38312901103114,55.958536835773984,179.1981791622606,1.0,203.7053202836255,1.0,126.31456252165663,1.0,222.83760258687835,1.0,143.39144118821423,1.0,0
11,2025-07-10 14:36:03.832763,4.568771097066004,4.816732695885316,69.40131063423719,69.86369026748886,56.897448016967466,56.11210922890251,56.847851149261686,5.552850773151284,69.40130997107494,56.11210880391566,178.37646297045742,1.0,202.7470584678768,1.0,125.78968021784931,1.0,221.79383540901654,1.0,142.13635008218262,1.0,0
12,2025-07-10 14:36:07.249517,4.703497027832418,4.9689665819627695,69.50458691541547,69.96059838828957,57.26948569036992,56.26440141284254,57.21850643207735,5.923506009689849,69.50458625998826,56.26440095348682,173.26873667239252,1.0,197.30368619956687,1.0,141.2670009096928,1.0,219.20685712302657,1.0,153.63097758950062,1.0,0
13,2025-07-10 14:36:10.904971,4.854799803380278,5.133511684357111,69.52463237065476,69.9775753384916,57.40904088608018,56.428940039236316,57.35846166607581,6.063461245814255,69.52463171869223,56.42893958358913,172.37393431433057,1.0,196.247152463938,1.0,140.55598098536848,1.0,218.04809574859974,1.0,152.3906627596716,1.0,0
14,2025-07-10 14:36:14.104477,5.005341052458535,5.296728356939916,69.5446349463425,69.99450494126904,57.54783142720664,56.592150321740995,57.49765260285639,6.202652184730423,69.54463429783931,56.59214986977851,171.48162749207708,1.0,195.1928787763957,1.0,139.84173635606112,1.0,216.89112491117157,1.0,151.15831842706484,1.0,0
15,2025-07-10 14:36:17.315851,5.155117305825526,5.458625141758665,69.5645946744581,70.01138745955231,57.68585608392695,56.75404080133969,57.63607796192244,6.341077545941541,69.56459402940885,56.75404035303822,170.59180234738852,1.0,194.14086345140512,1.0,139.1243191733338,1.0,215.73596199459644,1.0,149.93389823473535,1.0,0
16,2025-07-10 14:36:21.158814,5.304125180402441,5.619210523315692,69.5845108409597,70.02822273872235,57.823112832201204,56.914619961589516,57.77373566359598,6.478735249769479,69.58451019935886,56.91461951692544,169.70446702975494,1.0,193.09114412390056,1.0,138.4037844860586,1.0,214.58264176658304,1.0,148.71737320959255,1.0,0
17,2025-07-10 14:36:24.777608,5.4523613345766835,5.778492954534765,69.60438293025096,70.04501069602688,57.95960002415896,57.07389625454064,57.91062400809183,6.615623596428859,69.60438229209295,57.07389581349044,168.8196259007905,1.0,192.04374796935818,1.0,137.68019313772584,1.0,213.43119320022197,1.0,147.50872017316397,1.0,0
18,2025-07-10 14:36:27.779384,5.599822491826193,5.936480870213153,69.624210693584,70.06175134714678,58.09531616117058,57.23187811399307,58.04674144457108,6.751741035080589,69.6242100588631,57.231877676533294,167.93727813400372,1.0,190.99868809851145,1.0,136.95361176644383,1.0,212.28165685784006,1.0,146.30790435774088,1.0,0
19,2025-07-10 14:36:31.502855,5.746505447381938,6.093182659312916,69.64399349645285,70.07844456484261,58.23025959002967,57.38857392800285,58.182086266329094,6.887085859019892,69.64399286516326,57.388573494110176,167.05743043579443,1.0,189.95599795420063,1.0,136.22408093453942,1.0,211.1340617125279,1.0,145.1148909956146,1.0,0
20,2025-07-10 14:36:34.936342,5.892407053541707,6.2486066824370825,69.66373094241104,70.09509030906736,58.36442881840862,57.543992056181544,58.316656927666216,7.021656522546876,69.66373031454684,57.54399162583276,166.18008491691532,1.0,188.91569843188748,1.0,135.49168466397532,1.0,209.9884367373761,1.0,143.9296424217673,1.0,0
21,2025-07-10 14:36:38.229847,6.037524227666208,6.402761251723038,69.6834225972283,70.11168852447774,58.497822464374835,57.69814080980367,58.45045199434857,7.155451591427522,69.68342197278348,57.69814038297566,165.30524449433585,1.0,187.8778124185013,1.0,134.7564693116965,1.0,208.84483408394772,1.0,142.75212386849034,1.0,0
22,2025-07-10 14:36:41.947789,6.181853956361267,6.555654656635882,69.70306795368576,70.12823912878392,58.63043913666866,57.85102847737814,58.58347002187019,7.288469621155649,69.70306733265426,57.85102805404786,164.43291350530308,1.0,186.84236664797635,1.0,134.01850441312035,1.0,207.70325375224274,1.0,141.5823121573112,1.0,0
23,2025-07-10 14:36:45.328967,6.325393290951449,6.707295142033454,69.7226667113403,70.14474211502716,58.76227764763226,58.0026633028443,58.715709770551676,7.420709372051675,69.7226660937159,58.002662882988865,163.56309231658514,1.0,185.80937695573635,1.0,133.2778537090462,1.0,206.56374789382426,1.0,140.42015513666684,1.0,0
24,2025-07-10 14:36:48.447597,6.468139358314762,6.857690914409885,69.70276660008979,70.12347024083532,58.784387441201666,58.15302465802312,58.738895956572314,7.443895582182962,69.70276598374477,58.153024259849936,164.68426678907647,1.0,186.85825006078485,1.0,125.21407762164927,1.0,206.1358674973235,1.0,133.16855272478278,1.0,0
25,2025-07-10 14:36:52.031810,6.602248792463654,7.000319918864246,69.72133036295695,70.13913556395508,58.908523679259126,58.29564841069345,58.863388769022215,7.5683883966297305,69.72132974983704,58.29564801591766,163.85859622395282,1.0,185.87981173173446,1.0,124.54622760230905,1.0,205.05722830762352,1.0,132.03229764712887,1.0,0
26,2025-07-10 14:36:54.271538,6.7356429270986835,7.141731945574028,67.82870126726901,63.68974930504715,58.83924747250467,58.43686869047656,58.801436817725055,7.506436488092451,67.82870071233913,58.436868444612145,0.0,0.0,285.63441768894177,1.0,110.24523466971914,1.0,185.59564408974438,1.0,82.22906441517353,1.0,0
27,2025-07-10 14:36:57.662425,6.853720113437102,7.229802660082892,67.85148986725967,63.739207888390084,58.94073207990983,58.52493952618439,58.90352856370297,7.608528237779427,67.85148931495822,58.524939280202226,0.0,0.0,284.4333013066754,1.0,109.00474310403752,1.0,184.71657154805143,1.0,82.26844463990801,1.0,0
28,2025-07-10 14:37:01.605305,6.97046868416235,7.317915549019383,67.874224233476,63.788658267344246,59.041454389777755,58.61305244998601,59.00483852585631,7.709838203549417,67.87422368378985,58.61305220397,0.0,0.0,283.2350434183428,1.0,107.79516003140088,1.0,183.8418797376562,1.0,82.27976442640283,1.0,0
29,2025-07-10 14:37:05.193869,7.08592174404437,7.406040567029888,67.89690150163686,63.83808657142469,59.14141280991787,58.70117742248155,59.10536629601055,7.810365977233216,67.89690095455285,58.70117717650973,0.0,0.0,282.03979499131225,1.0,106.61470360673775,1.0,182.9716034262674,1.0,82.2649823555821,1.0,0
30,2025-07-10 14:37:09.204110,7.200110482600118,7.4941497507550245,58.40040668099259,58.43855648346087,58.40045198672317,58.78907889096448,58.40048585953845,7.10548596574837,58.400406681764615,58.789079063303255,0.0,0.0,0.0,0.0,-35.52178264897066,1.0,-0.25820528605891013,1.0,-57.63849855384251,1.0,0
31,2025-07-10 14:37:12.271619,7.16206518938518,7.432416548500268,58.357336909894435,58.391478920959884,58.35761845840073,58.72734784614253,58.35767324524759,7.062673354314088,58.357336911946426,58.72734801562471,0.0,0.0,0.0,0.0,-36.47716161935932,1.0,-0.6862855968847725,1.0,-56.683116686144785,1.0,0
32,2025-07-10 14:37:15.771387,7.122996643477389,7.371706594553887,58.31337468880991,58.34400790132758,58.31402716076837,58.666639857873044,58.314105286225434,7.019105397930745,58.313374692040355,58.666640024716436,0.0,0.0,0.0,0.0,-37.359708034614414,1.0,-1.0804181374624022,1.0,-55.80057606550781,1.0,0
33,2025-07-10 14:37:18.673504,7.082982855387945,7.3119418784334265,58.268642132362274,58.29620326025441,58.26975710399654,58.606876931639064,58.269860083999184,6.9748601981385505,58.26864213667659,58.606877096048386,0.0,0.0,0.0,0.0,-38.173776550252114,1.0,-1.4429178577302082,1.0,-54.98650465256105,1.0,0
