iteration,timestamp,error_flag,P2,T1,V5F,J5,V5,T2,V4F,J4,V4,J1,P1F,V1F,P1
0.0,2025-07-10 14:35:29.453358,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,2025-07-10 14:35:32.950377,False,1.0,3.1915781497955322,130.785888671875,55.54426956176758,1.0,3.2186312675476074,155.1534881591797,54.51407241821289,1.0,69.21785736083984,212.41648864746094,232.28428649902344,1.0
2.0,2025-07-10 14:35:36.705624,False,1.0,3.3316550254821777,130.31216430664062,55.67726135253906,1.0,3.3848071098327637,153.80491638183594,54.68024444580078,1.0,69.23635864257812,211.44125366210938,231.2305145263672,1.0
3.0,2025-07-10 14:35:40.370962,False,1.0,3.471224784851074,129.8325653076172,55.8096809387207,1.0,3.5495386123657227,152.466796875,54.844966888427734,1.0,69.25482940673828,210.4677734375,230.1776580810547,1.0
4.0,2025-07-10 14:35:43.309017,False,1.0,3.610280752182007,129.34710693359375,55.941524505615234,1.0,3.712836742401123,151.13912963867188,55.00825881958008,1.0,69.27326202392578,209.49607849121094,229.12579345703125,1.0
5.0,2025-07-10 14:35:46.828669,False,1.0,3.748816967010498,128.85586547851562,56.07278060913086,1.0,3.8747129440307617,149.82188415527344,55.170127868652344,1.0,69.29166412353516,208.52621459960938,228.074951171875,1.0
6.0,2025-07-10 14:35:50.601858,False,1.0,3.886826753616333,128.35887145996094,56.203453063964844,1.0,4.035178184509277,148.5150604248047,55.33058547973633,1.0,69.31002807617188,207.55819702148438,227.02516174316406,1.0
7.0,2025-07-10 14:35:53.925189,False,1.0,4.024304389953613,127.85619354248047,56.333534240722656,1.0,4.194244384765625,147.2186279296875,55.489646911621094,1.0,69.32836151123047,206.59207153320312,225.97650146484375,1.0
8.0,2025-07-10 14:35:57.064557,False,1.0,4.161243915557861,127.3478775024414,56.46302032470703,1.0,4.351921558380127,145.93255615234375,55.647315979003906,1.0,69.3466567993164,205.6278533935547,224.92898559570312,1.0
9.0,2025-07-10 14:36:00.002368,False,1.0,4.297638416290283,126.83397674560547,56.59190368652344,1.0,4.50822114944458,144.65682983398438,55.803611755371094,1.0,69.36491394042969,204.6656036376953,223.88267517089844,1.0
10.0,2025-07-10 14:36:03.683604,False,1.0,4.433483123779297,126.31455993652344,56.72018051147461,1.0,4.663154602050781,143.3914337158203,55.95853805541992,1.0,69.38313293457031,203.705322265625,222.8376007080078,1.0
11.0,2025-07-10 14:36:07.137964,False,1.0,4.568770885467529,125.78968048095703,56.84785079956055,1.0,4.816732883453369,142.1363525390625,56.11211013793945,1.0,69.40131378173828,202.74705505371094,221.79383850097656,1.0
12.0,2025-07-10 14:36:10.798311,False,1.0,4.703496932983398,141.26699829101562,57.218505859375,1.0,4.968966484069824,153.6309814453125,56.264400482177734,1.0,69.50458526611328,197.30368041992188,219.2068634033203,1.0
13.0,2025-07-10 14:36:14.064321,False,1.0,4.854799747467041,140.5559844970703,57.358463287353516,1.0,5.133511543273926,152.39065551757812,56.42893981933594,1.0,69.5246353149414,196.2471466064453,218.048095703125,1.0
14.0,2025-07-10 14:36:17.205103,False,1.0,5.005341053009033,139.84173583984375,57.49765396118164,1.0,5.296728134155273,151.1583251953125,56.5921516418457,1.0,69.54463195800781,195.19288635253906,216.89112854003906,1.0
15.0,2025-07-10 14:36:21.067597,False,1.0,5.155117511749268,139.1243133544922,57.636077880859375,1.0,5.458625316619873,149.93389892578125,56.7540397644043,1.0,69.5645980834961,194.140869140625,215.7359619140625,1.0
16.0,2025-07-10 14:36:24.704422,False,1.0,5.3041253089904785,138.40377807617188,57.77373504638672,1.0,5.619210720062256,148.71737670898438,56.91461944580078,1.0,69.58451080322266,193.0911407470703,214.5826416015625,1.0
17.0,2025-07-10 14:36:27.662876,False,1.0,5.452361106872559,137.68019104003906,57.91062545776367,1.0,5.7784929275512695,147.5087127685547,57.07389450073242,1.0,69.60438537597656,192.0437469482422,213.4311981201172,1.0
18.0,2025-07-10 14:36:31.400192,False,1.0,5.599822521209717,136.95361328125,58.0467414855957,1.0,5.93648099899292,146.3079071044922,57.231876373291016,1.0,69.62421417236328,190.99868774414062,212.2816619873047,1.0
19.0,2025-07-10 14:36:34.878919,False,1.0,5.746505260467529,136.2240753173828,58.18208694458008,1.0,6.093182563781738,145.11488342285156,57.388572692871094,1.0,69.64399719238281,189.95599365234375,211.13406372070312,1.0
20.0,2025-07-10 14:36:38.173098,False,1.0,5.892406940460205,135.49168395996094,58.31665802001953,1.0,6.2486066818237305,143.9296417236328,57.54399108886719,1.0,69.66373443603516,188.9156951904297,209.98843383789062,1.0
