iteration,timestamp,T2,V4F,J4,V4
0,2025-07-10 15:24:46.679251,0.0,0.0,0.0,1
1,2025-07-10 15:24:49.544597,3.2186313630937082,155.15348742439983,54.51407420451124,1
2,2025-07-10 15:24:52.461230,3.384807142011733,153.80491464156876,54.68024288465668,1
3,2025-07-10 15:24:55.408037,3.5495385392600243,152.46679824713283,54.84496729039304,1
4,2025-07-10 15:24:58.317115,3.712836759908192,151.13913244647392,55.00825862556742,1
5,2025-07-10 15:25:01.673011,3.8747129945809093,149.82188826650145,55.17012807954792,1
6,2025-07-10 15:25:04.599450,4.035178410455544,148.51505991259728,55.33058681828106,1
7,2025-07-10 15:25:07.729017,4.194244154467481,147.2186213089799,55.4896459874968,1
8,2025-07-10 15:25:10.722711,4.351921356607842,145.93255217448586,55.64731671598689,1
9,2025-07-10 15:25:13.536201,4.508221129203803,144.65682933064272,55.8036101148283,1
10,2025-07-10 15:25:16.648294,4.6631545539216965,143.39144118821423,55.95853726451355,1
11,2025-07-10 15:25:19.568211,4.816732695885316,142.13635008218262,56.11210922890251,1
12,2025-07-10 15:25:22.518115,4.9689665819627695,153.63097758950062,56.26440141284254,1
13,2025-07-10 15:25:25.630052,5.133511684357111,152.3906627596716,56.428940039236316,1
14,2025-07-10 15:25:28.552256,5.296728356939916,151.15831842706484,56.592150321740995,1
15,2025-07-10 15:25:31.505671,5.458625141758665,149.93389823473535,56.75404080133969,1
16,2025-07-10 15:25:34.099603,5.619210523315692,148.71737320959255,56.914619961589516,1
17,2025-07-10 15:25:37.080317,5.778492954534765,147.50872017316397,57.07389625454064,1
18,2025-07-10 15:25:40.130962,5.936480870213153,146.30790435774088,57.23187811399307,1
19,2025-07-10 15:25:42.807973,6.093182659312916,145.1148909956146,57.38857392800285,1
20,2025-07-10 15:25:45.888449,6.2486066824370825,143.9296424217673,57.543992056181544,1
21,2025-07-10 15:25:49.151104,6.402761251723038,142.75212386849034,57.69814080980367,1
22,2025-07-10 15:25:52.313438,6.555654656635882,141.5823121573112,57.85102847737814,1
23,2025-07-10 15:25:55.529075,6.707295142033454,140.42015513666684,58.0026633028443,1
24,2025-07-10 15:25:58.431860,6.857690914409885,133.16855272478278,58.15302465802312,1
25,2025-07-10 15:26:01.395641,7.000319918864246,132.03229764712887,58.29564841069345,1
26,2025-07-10 15:26:04.704606,7.141731945574028,82.22906441517353,58.43686869047656,1
27,2025-07-10 15:26:07.824084,7.229802660082892,82.26844463990801,58.52493952618439,1
28,2025-07-10 15:26:10.689932,7.317915549019383,82.27976442640283,58.61305244998601,1
29,2025-07-10 15:26:13.866317,7.406040567029888,82.2649823555821,58.70117742248155,1
30,2025-07-10 15:26:16.654768,7.4941497507550245,-57.63849855384251,58.78907889096448,1
31,2025-07-10 15:26:19.662577,7.432416548500268,-56.683116686144785,58.72734784614253,1
32,2025-07-10 15:26:22.664709,7.371706594553887,-55.80057606550781,58.666639857873044,1
33,2025-07-10 15:26:25.977660,7.3119418784334265,-54.98650465256105,58.606876931639064,1
34,2025-07-10 15:26:29.183269,7.253049069737698,-54.23674770611342,58.547985751598596,1
35,2025-07-10 15:26:32.055147,7.194959282340772,-53.54729535042679,58.489897445052584,1
36,2025-07-10 15:26:34.957666,7.137607926841355,-40.73744888216879,58.432570633441074,1
37,2025-07-10 15:26:38.318534,7.093976441852401,-39.62103167964415,58.38894101636404,1
38,2025-07-10 15:26:41.403216,7.0515406877780915,-38.60606085652307,58.346506922076834,1
39,2025-07-10 15:26:44.525580,7.0101920079721465,-37.6951700667405,58.30515970060771,1
40,2025-07-10 15:26:47.515574,6.969818926963091,-36.88262843297707,58.264787895455974,1
41,2025-07-10 15:26:50.287228,6.930316112416206,-36.16012647285061,58.225286195499365,1
42,2025-07-10 15:26:53.013636,6.891587128723641,-35.51976032724724,58.18655818399011,1
43,2025-07-10 15:26:56.403727,6.85354400330125,-34.95397381414023,58.148515905221586,1
44,2025-07-10 15:26:59.321572,6.81610685855164,-34.455575812444295,58.11107949668975,1
45,2025-07-10 15:27:02.507905,6.779203512788534,-34.017760543179065,58.07417679024439,1
46,2025-07-10 15:27:05.815152,6.742769091351741,-33.6341684129593,58.037742923221266,1
47,2025-07-10 15:27:09.027651,6.706745513271783,-33.29887442475865,58.001719825363786,1
48,2025-07-10 15:27:11.980426,6.6710810468300865,-56.19839108589986,57.96601342735452,1
49,2025-07-10 15:27:15.097893,6.6108902575013575,-56.22264446003555,57.90582258403623,1
50,2025-07-10 15:27:18.346024,6.550673489445825,-56.24480018241229,57.84560576663749,1
51,2025-07-10 15:27:21.539733,6.490432991557724,-56.265058167355164,57.78536522361678,1
52,2025-07-10 15:27:25.137758,6.430170795661383,-56.28357486955338,57.72510298646434,1
53,2025-07-10 15:27:28.637403,6.369888771207898,-56.300495154459895,57.66482092428349,1
54,2025-07-10 15:27:31.779557,6.309588618977515,-56.315975476763924,57.604520737550956,1
55,2025-07-10 15:27:34.552156,6.24927189270215,-56.33011434497348,57.544203979742626,1
56,2025-07-10 15:27:38.169461,6.188940022067268,-56.343047932614354,57.483872080254784,1
57,2025-07-10 15:27:41.658238,6.128594297001995,-56.3548718508855,57.42352632882064,1
58,2025-07-10 15:27:44.479060,6.068235912657662,-56.365687505604,57.363167920344274,1
59,2025-07-10 15:27:47.741247,6.007865944859633,-56.37557312411445,57.30279793047743,1
60,2025-07-10 15:27:50.881190,5.947485385595517,62.20459678786483,57.24256697860669,1
61,2025-07-10 15:27:55.141814,6.0141090715838885,62.065679510396876,57.30919032780217,1
62,2025-07-10 15:27:57.987802,6.080583967478576,61.914506615607934,57.375664857924015,1
63,2025-07-10 15:28:01.077094,6.146896951601198,61.751857479634964,57.441977449349615,1
64,2025-07-10 15:28:04.533335,6.213035730481521,61.5784564297428,57.50811581055923,1
65,2025-07-10 15:28:07.215278,6.278988795980679,61.394995922796625,57.57406843522747,1
66,2025-07-10 15:28:10.125516,6.344745366198212,61.20210177755325,57.6398245431564,1
67,2025-07-10 15:28:12.666260,6.410295338462517,61.00035635313361,57.70537403323709,1
68,2025-07-10 15:28:15.137375,6.475629229607636,60.790310138258974,57.77070742382239,1
69,2025-07-10 15:28:18.037825,6.540738159489214,60.5724788539419,57.835815836117376,1
70,2025-07-10 15:28:20.932622,6.605613778271866,60.34733476155907,57.900690921603946,1
71,2025-07-10 15:28:23.612849,6.6702482554567215,60.115338533250906,57.965324851053765,1
72,2025-07-10 15:28:26.695593,6.7346342626318005,56.42035393293554,58.02970237699529,1
73,2025-07-10 15:28:29.094254,6.795062786330183,56.181795299607984,58.09013036887872,1
74,2025-07-10 15:28:31.300450,6.855235804260656,55.938059174991395,58.150302845423575,1
75,2025-07-10 15:28:34.056492,6.9151477669955925,55.689484544245715,58.210214258112714,1
76,2025-07-10 15:28:36.731538,6.974793503677066,55.43640170060371,58.26985943689433,1
77,2025-07-10 15:28:39.544630,7.034168176055246,-87.97156863579403,58.329013236531004,1
78,2025-07-10 15:28:41.870693,6.939947007434414,-88.26233098375269,58.23479111878589,1
79,2025-07-10 15:28:44.413543,6.845414418354025,-88.53544582223094,58.140257635851405,1
80,2025-07-10 15:28:46.286030,6.7505893065706415,-88.79203151252568,58.04543168219269,1
81,2025-07-10 15:28:49.694899,6.6554893833752145,-89.03316295629793,57.95033096593181,1
82,2025-07-10 15:28:52.746388,6.560131198564898,-89.25984262248221,57.85497203390922,1
