iteration,timestamp,error_flag,P2,T1,V5F,J5,V5,T2,V4F,J4,V4,J1,P1F,V1F,P1
0.0,2026-01-01 19:52:19.602430,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,2026-01-01 19:52:22.416169,False,1.0,3.1915781497955322,130.785888671875,55.54426956176758,1.0,3.2186312675476074,155.1534881591797,54.51407241821289,1.0,69.21785736083984,212.41648864746094,232.28428649902344,1.0
2.0,2026-01-01 19:52:25.087442,False,1.0,3.3316550254821777,130.31216430664062,55.67726135253906,1.0,3.3848071098327637,153.80491638183594,54.68024444580078,1.0,69.23635864257812,211.44125366210938,231.2305145263672,1.0
3.0,2026-01-01 19:52:27.855036,False,1.0,3.471224784851074,129.8325653076172,55.8096809387207,1.0,3.5495386123657227,152.466796875,54.844966888427734,1.0,69.25482940673828,210.4677734375,230.1776580810547,1.0
4.0,2026-01-01 19:52:30.623160,False,1.0,3.610280752182007,129.34710693359375,55.941524505615234,1.0,3.712836742401123,151.13912963867188,55.00825881958008,1.0,69.27326202392578,209.49607849121094,229.12579345703125,1.0
5.0,2026-01-01 19:52:33.341155,False,1.0,3.748816967010498,128.85586547851562,56.07278060913086,1.0,3.8747129440307617,149.82188415527344,55.170127868652344,1.0,69.29166412353516,208.52621459960938,228.074951171875,1.0
6.0,2026-01-01 19:52:36.082525,False,1.0,3.886826753616333,128.35887145996094,56.203453063964844,1.0,4.035178184509277,148.5150604248047,55.33058547973633,1.0,69.31002807617188,207.55819702148438,227.02516174316406,1.0
7.0,2026-01-01 19:52:39.136760,False,1.0,4.024304389953613,127.85619354248047,56.333534240722656,1.0,4.194244384765625,147.2186279296875,55.489646911621094,1.0,69.32836151123047,206.59207153320312,225.97650146484375,1.0
8.0,2026-01-01 19:52:41.424498,False,1.0,4.161243915557861,127.3478775024414,56.46302032470703,1.0,4.351921558380127,145.93255615234375,55.647315979003906,1.0,69.3466567993164,205.6278533935547,224.92898559570312,1.0
9.0,2026-01-01 19:52:44.210933,False,1.0,4.297638416290283,126.83397674560547,56.59190368652344,1.0,4.50822114944458,144.65682983398438,55.803611755371094,1.0,69.36491394042969,204.6656036376953,223.88267517089844,1.0
10.0,2026-01-01 19:52:47.140215,False,1.0,4.433483123779297,126.31455993652344,56.72018051147461,1.0,4.663154602050781,143.3914337158203,55.95853805541992,1.0,69.38313293457031,203.705322265625,222.8376007080078,1.0
11.0,2026-01-01 19:52:49.878727,False,1.0,4.568770885467529,125.78968048095703,56.84785079956055,1.0,4.816732883453369,142.1363525390625,56.11211013793945,1.0,69.40131378173828,202.74705505371094,221.79383850097656,1.0
12.0,2026-01-01 19:52:52.677433,False,1.0,4.703496932983398,141.26699829101562,57.218505859375,1.0,4.968966484069824,153.6309814453125,56.264400482177734,1.0,69.50458526611328,197.30368041992188,219.2068634033203,1.0
